-57.2037 9.78773 -66.9914
-57.1847 9.87713 -67.0618
-57.2021 9.70235 -66.9045
-57.2841 9.61366 -66.8978
-57.2106 9.7864 -66.997
-56.9176 9.93437 -66.8519
-57.0926 9.79339 -66.886
-57.1813 9.93238 -67.1137
-57.2965 9.86565 -67.1621
-57.1063 9.82489 -66.9312
-56.9071 9.8913 -66.7984
-57.1885 9.8305 -67.019
-57.4283 9.90044 -67.3288
-57.3404 9.9142 -67.2546
-57.2334 9.78381 -67.0172
-57.1822 9.81347 -66.9956
-57.168 9.88667 -67.0547
-57.2251 9.74316 -66.9682
-57.1797 9.86817 -67.0479
-57.3773 9.80758 -67.1849
-57.2343 9.64122 -66.8755
-57.0769 9.97715 -67.054
-57.0866 9.99039 -67.077
-56.9522 9.97056 -66.9228
-57.1454 9.95209 -67.0975
-57.1281 9.73279 -66.8608
-56.9936 9.87713 -66.8708
-57.1658 9.93696 -67.1028
-57.0949 9.84384 -66.9388
-57.2935 9.75841 -67.0519
-57.2574 9.695 -66.9524
-57.0107 9.89443 -66.9051
-56.9358 9.85724 -66.793
-57.1108 9.83744 -66.9483
-57.1615 9.83073 -66.9922
-57.2339 9.85975 -67.0936
-57.0974 9.8805 -66.9779
-57.0873 9.74649 -66.8338
-57.179 9.8155 -66.9945
-57.0736 9.89147 -66.965
-57.1897 9.81904 -67.0087
-57.1286 9.90734 -67.036
-57.2103 9.808 -67.0183
-57.1379 9.87467 -67.0125
-57.0957 9.82918 -66.9249
-57.0463 9.66721 -66.7136
-57.0082 9.9666 -66.9748
-57.2002 9.82321 -67.0235
-56.9383 9.88339 -66.8217
-57.139 9.89033 -67.0293
-57.1428 9.77989 -66.9227
-57.2272 9.74099 -66.9682
-57.2824 9.74161 -67.0241
-57.1601 9.90836 -67.0685
-57.2227 9.89973 -67.1224
-57.28 9.84079 -67.1208
-57.0379 9.83339 -66.8713
-57.2149 9.94432 -67.1592
-57.1999 9.75641 -66.9563
-56.9912 9.82916 -66.8204
-57.1838 9.85242 -67.0362
-57.233 9.80888 -67.0419
-57.2667 9.72829 -66.995
-57.4224 9.76823 -67.1907
-57.1047 9.83147 -66.9362
-57.1412 9.8627 -67.0039
-57.3112 9.88871 -67.1999
-57.3537 9.87603 -67.2297
-57.007 9.8524 -66.8594
-57.1476 9.79096 -66.9386
-57.1378 9.92973 -67.0676
-57.174 9.76996 -66.9439
-57.4311 9.66354 -67.0947
-57.3217 9.85003 -67.1717
-57.1152 9.9272 -67.0424
-57.3877 9.81865 -67.2063
-57.1095 9.84214 -66.9516
-56.7449 10.0172 -66.7621
-56.9901 9.95834 -66.9485
-57.0807 9.97274 -67.0535
-56.8578 9.96429 -66.8221
-57.1736 9.83181 -67.0054
-57.172 9.88667 -67.0587
-57.1965 9.86916 -67.0656
-56.9709 9.88388 -66.8548
-57.2418 9.91476 -67.1565
-56.973 9.84342 -66.8164
-57.2144 9.83975 -67.0541
-57.161 9.87771 -67.0387
-57.1051 9.92557 -67.0306
-57.297 9.74718 -67.0441
-57.1103 9.84468 -66.955
-57.0178 9.92036 -66.9382
-56.8387 9.93846 -66.7771
-57.2238 9.76186 -66.9856
-57.1061 9.85581 -66.9619
-56.87 9.93164 -66.8017
-57.1642 9.78353 -66.9477
-57.1531 9.87306 -67.0262
-56.8805 9.96468 -66.8451
-57.2604 9.76565 -67.0261
-57.2204 9.87941 -67.0998
-57.2559 9.75634 -67.0122
-57.133 9.78701 -66.92
-57.3883 9.71732 -67.1056
-57.1754 9.93595 -67.1113
-57.0096 9.9381 -66.9477
-57.0581 9.94436 -67.0024
-57.1304 9.94363 -67.074
-57.2729 9.76323 -67.0362
-57.178 9.75292 -66.9309
-57.4672 9.79526 -67.2624
-57.0624 9.85194 -66.9144
-57.1424 9.71161 -66.854
-57.3136 9.79748 -67.111
-57.1078 9.87669 -66.9845
-56.9298 9.92115 -66.851
-57.1059 9.828 -66.9339
-57.3161 9.89263 -67.2087
-57.0746 9.78723 -66.8618
-56.9133 9.93477 -66.8481
-57.0752 9.87171 -66.9469
-57.043 9.84182 -66.8848
-56.9613 9.93014 -66.8914
-57.2325 9.89493 -67.1274
-57.2643 9.76712 -67.0314
-57.0646 9.953 -67.0176
-57.2004 9.74091 -66.9413
-57.0776 9.78844 -66.866
-57.1286 9.87574 -67.0044
-57.2879 9.73963 -67.0275
-57.3843 9.7266 -67.1109
-57.1322 9.81943 -66.9516
